"title","author","subject","abstract","date"
"leveraging social media data to identify factors influencing public attitude towards accessibility, socioeconomic disparity and public transportation","khondhaker al momin, arif mohaimin sadri, md sami hasnine","computers and society","this study proposes a novel method to understand the factors affecting individuals' perception of transport accessibility, socioeconomic disparity, and public infrastructure. as opposed to the time consuming and expensive survey-based approach, this method can generate organic large-scale responses from social media and develop statistical models to understand individuals' perceptions of various transportation issues. this study retrieved and analyzed 36,098 tweets from new york city from march 19, 2020, to may 15, 2022. a state-of-the-art natural language processing algorithm is used for text mining and classification. a data fusion technique has been adopted to generate a series of socioeconomic traits that are used as explanatory variables in the model. the model results show that females and individuals of asian origin tend to discuss transportation accessibility more than their counterparts, with those experiencing high neighborhood traffic also being more vocal. however, disadvantaged individuals, including the unemployed and those living in low-income neighborhoods or in areas with high natural hazard risks, tend to communicate less about such issues. as for socioeconomic disparity, individuals of asian origin and those experiencing various types of air pollution are more likely to discuss these topics on twitter, often with a negative sentiment. however, unemployed, or disadvantaged individuals, as well as those living in areas with high natural hazard risks or expected losses, are less inclined to tweet about this subject. lack of internet accessibility could be a reason why many disadvantaged individuals do not tweet about transport accessibility and subsidized internet could be a possible solution.",2024-01-22
"a scalable and automated framework for tracking the likely adoption of emerging technologies","lowri williams, eirini anthi, pete burnap","computers and society","while new technologies are expected to revolutionise and become game-changers in improving the efficiencies and practises of our daily lives, it is also critical to investigate and understand the barriers and opportunities faced by their adopters. such findings can serve as an additional feature in the decision-making process when analysing the risks, costs, and benefits of adopting an emerging technology in a particular setting. although several studies have attempted to perform such investigations, these approaches adopt a qualitative data collection methodology which is limited in terms of the size of the targeted participant group and is associated with a significant manual overhead when transcribing and inferring results. this paper presents a scalable and automated framework for tracking likely adoption and/or rejection of new technologies from a large landscape of adopters. in particular, a large corpus of social media texts containing references to emerging technologies was compiled. text mining techniques were applied to extract sentiments expressed towards technology aspects. in the context of the problem definition herein, we hypothesise that the expression of positive sentiment infers an increase in the likelihood of impacting a technology user's acceptance to adopt, integrate, and/or use the technology, and negative sentiment infers an increase in the likelihood of impacting the rejection of emerging technologies by adopters. to quantitatively test our hypothesis, a ground truth analysis was performed to validate that the sentiment captured by the text mining approach is comparable to the results given by human annotators when asked to label whether such texts positively or negatively impact their outlook towards adopting an emerging technology.",2024-01-16
"building contextual knowledge graphs for personalized learning recommendations using text mining and semantic graph completion","hasan abu-rasheed, mareike dornhöfer, christian weber, gábor kismihók, ulrike buchmann, madjid fathi","information retrieval","modelling learning objects (lo) within their context enables the learner to advance from a basic, remembering-level, learning objective to a higher-order one, i.e., a level with an application- and analysis objective. while hierarchical data models are commonly used in digital learning platforms, using graph-based models enables representing the context of los in those platforms. this leads to a foundation for personalized recommendations of learning paths. in this paper, the transformation of hierarchical data models into knowledge graph (kg) models of los using text mining is introduced and evaluated. we utilize custom text mining pipelines to mine semantic relations between elements of an expert-curated hierarchical model. we evaluate the kg structure and relation extraction using graph quality-control metrics and the comparison of algorithmic semantic-similarities to expert-defined ones. the results show that the relations in the kg are semantically comparable to those defined by domain experts, and that the proposed kg improves representing and linking the contexts of los through increasing graph communities and betweenness centrality.",2024-01-24
"topic modelling: going beyond token outputs","lowri williams, eirini anthi, laura arman, pete burnap","computation and language","topic modelling is a text mining technique for identifying salient themes from a number of documents. the output is commonly a set of topics consisting of isolated tokens that often co-occur in such documents. manual effort is often associated with interpreting a topic's description from such tokens. however, from a human's perspective, such outputs may not adequately provide enough information to infer the meaning of the topics; thus, their interpretability is often inaccurately understood. although several studies have attempted to automatically extend topic descriptions as a means of enhancing the interpretation of topic models, they rely on external language sources that may become unavailable, must be kept up-to-date to generate relevant results, and present privacy issues when training on or processing data. this paper presents a novel approach towards extending the output of traditional topic modelling methods beyond a list of isolated tokens. this approach removes the dependence on external sources by using the textual data itself by extracting high-scoring keywords and mapping them to the topic model's token outputs. to measure the interpretability of the proposed outputs against those of the traditional topic modelling approach, independent annotators manually scored each output based on their quality and usefulness, as well as the efficiency of the annotation task. the proposed approach demonstrated higher quality and usefulness, as well as higher efficiency in the annotation task, in comparison to the outputs of a traditional topic modelling method, demonstrating an increase in their interpretability.",2024-01-16
"examining the role of peer acknowledgements on social annotations: unraveling the psychological underpinnings","xiaoshan huang, haolun wu, xue liu, susanne lajoie","human-computer interaction","this study explores the impact of peer acknowledgement on learner engagement and implicit psychological attributes in written annotations on an online social reading platform. participants included 91 undergraduates from a large north american university. using log file data, we analyzed the relationship between learners' received peer acknowledgement and their subsequent annotation behaviours using cross-lag regression. higher peer acknowledgements correlate with increased initiation of annotations and responses to peer annotations. by applying text mining techniques and calculating shapley values to analyze 1,969 social annotation entries, we identified prominent psychological themes within three dimensions (i.e., affect, cognition, and motivation) that foster peer acknowledgment in digital social annotation. these themes include positive affect, openness to learning and discussion, and expression of motivation. the findings assist educators in improving online learning communities and provide guidance to technology developers in designing effective prompts, drawing from both implicit psychological cues and explicit learning behaviours.",2024-01-23
"biofinbert: finetuning large language models (llms) to analyze sentiment of press releases and financial text around inflection points of biotech stocks","valentina aparicio, daniel gordon, sebastian g. huayamares, yuhuai luo","general finance","large language models (llms) are deep learning algorithms being used to perform natural language processing tasks in various fields, from social sciences to finance and biomedical sciences. developing and training a new llm can be very computationally expensive, so it is becoming a common practice to take existing llms and finetune them with carefully curated datasets for desired applications in different fields. here, we present biofinbert, a finetuned llm to perform financial sentiment analysis of public text associated with stocks of companies in the biotechnology sector. the stocks of biotech companies developing highly innovative and risky therapeutic drugs tend to respond very positively or negatively upon a successful or failed clinical readout or regulatory approval of their drug, respectively. these clinical or regulatory results are disclosed by the biotech companies via press releases, which are followed by a significant stock response in many cases. in our attempt to design a llm capable of analyzing the sentiment of these press releases,we first finetuned biobert, a biomedical language representation model designed for biomedical text mining, using financial textual databases. our finetuned model, termed biofinbert, was then used to perform financial sentiment analysis of various biotech-related press releases and financial text around inflection points that significantly affected the price of biotech stocks.",2024-01-19
"taec: a manually annotated text dataset for trait and phenotype extraction and entity linking in wheat breeding literature","claire nédellec, clara sauvion, robert bossy, mariya borovikova, louise deléger","computation and language","wheat varieties show a large diversity of traits and phenotypes. linking them to genetic variability is essential for shorter and more efficient wheat breeding programs. newly desirable wheat variety traits include disease resistance to reduce pesticide use, adaptation to climate change, resistance to heat and drought stresses, or low gluten content of grains. wheat breeding experiments are documented by a large body of scientific literature and observational data obtained in-field and under controlled conditions. the cross-referencing of complementary information from the literature and observational data is essential to the study of the genotype-phenotype relationship and to the improvement of wheat selection. the scientific literature on genetic marker-assisted selection describes much information about the genotype-phenotype relationship. however, the variety of expressions used to refer to traits and phenotype values in scientific articles is a hinder to finding information and cross-referencing it. when trained adequately by annotated examples, recent text mining methods perform highly in named entity recognition and linking in the scientific domain. while several corpora contain annotations of human and animal phenotypes, currently, no corpus is available for training and evaluating named entity recognition and entity-linking methods in plant phenotype literature. the triticum aestivum trait corpus is a new gold standard for traits and phenotypes of wheat. it consists of 540 pubmed references fully annotated for trait, phenotype, and species named entities using the wheat trait and phenotype ontology and the species taxonomy of the national center for biotechnology information. a study of the performance of tools trained on the triticum aestivum trait corpus shows that the corpus is suitable for the training and evaluation of named entity recognition and linking.",2024-01-15
"two directions for clinical data generation with large language models: data-to-label and label-to-data","rumeng li, xun wang, hong yu","computation and language","large language models (llms) can generate natural language texts for various domains and tasks, but their potential for clinical text mining, a domain with scarce, sensitive, and imbalanced medical data, is underexplored. we investigate whether llms can augment clinical data for detecting alzheimer's disease (ad)-related signs and symptoms from electronic health records (ehrs), a challenging task that requires high expertise. we create a novel pragmatic taxonomy for ad sign and symptom progression based on expert knowledge, which guides llms to generate synthetic data following two different directions: ""data-to-label"", which labels sentences from a public ehr collection with ad-related signs and symptoms; and ""label-to-data"", which generates sentences with ad-related signs and symptoms based on the label definition. we train a system to detect ad-related signs and symptoms from ehrs, using three datasets: (1) a gold dataset annotated by human experts on longitudinal ehrs of ad patients; (2) a silver dataset created by the data-to-label method; and (3) a bronze dataset created by the label-to-data method. we find that using the silver and bronze datasets improves the system performance, outperforming the system using only the gold dataset. this shows that llms can generate synthetic clinical data for a complex task by incorporating expert knowledge, and our label-to-data method can produce datasets that are free of sensitive information, while maintaining acceptable quality.",2023-12-09
"exact representation and efficient approximations of linear model predictive control laws via hardtanh type deep neural networks","daniela lupu, ion necoara","optimization and control","deep neural networks have revolutionized many fields, including image processing, inverse problems, text mining and more recently, give very promising results in systems and control. neural networks with hidden layers have a strong potential as an approximation framework of predictive control laws as they usually yield better approximation quality and smaller memory requirements than existing explicit (multi-parametric) approaches. in this paper, we first show that neural networks with hardtanh activation functions can exactly represent predictive control laws of linear time-invariant systems. we derive theoretical bounds on the minimum number of hidden layers and neurons that a hardtanh neural network should have to exactly represent a given predictive control law. the choice of hardtanh deep neural networks is particularly suited for linear predictive control laws as they usually require less hidden layers and neurons than deep neural networks with relu units for representing exactly continuous piecewise affine (or equivalently min-max) maps. in the second part of the paper we bring the physics of the model and standard optimization techniques into the architecture design, in order to eliminate the disadvantages of the black-box hardtanh learning. more specifically, we design trainable unfolded hardtanh deep architectures for learning linear predictive control laws based on two standard iterative optimization algorithms, i.e., projected gradient descent and accelerated projected gradient descent. we also study the performance of the proposed hardtanh type deep neural networks on a linear model predictive control application.",2024-01-10
"idofew: intermediate training using dual-clustering in language models for few labels text classification","abdullah alsuhaibani, hamad zogan, imran razzak, shoaib jameel, guandong xu","computation and language","language models such as bidirectional encoder representations from transformers (bert) have been very effective in various natural language processing (nlp) and text mining tasks including text classification. however, some tasks still pose challenges for these models, including text classification with limited labels. this can result in a cold-start problem. although some approaches have attempted to address this problem through single-stage clustering as an intermediate training step coupled with a pre-trained language model, which generates pseudo-labels to improve classification, these methods are often error-prone due to the limitations of the clustering algorithms. to overcome this, we have developed a novel two-stage intermediate clustering with subsequent fine-tuning that models the pseudo-labels reliably, resulting in reduced prediction errors. the key novelty in our model, idofew, is that the two-stage clustering coupled with two different clustering algorithms helps exploit the advantages of the complementary algorithms that reduce the errors in generating reliable pseudo-labels for fine-tuning. our approach has shown significant improvements compared to strong comparative models.",2024-01-08
"text mining arxiv: a look through quantitative finance papers","michele leonardo bianchi","digital libraries","this paper explores articles hosted on the arxiv preprint server with the aim to uncover valuable insights hidden in this vast collection of research. employing text mining techniques and through the application of natural language processing methods, we examine the contents of quantitative finance papers posted in arxiv from 1997 to 2022. we extract and analyze crucial information from the entire documents, including the references, to understand the topics trends over time and to find out the most cited researchers and journals on this domain. additionally, we compare numerous algorithms to perform topic modeling, including state-of-the-art approaches.",2024-01-03
"language model as an annotator: unsupervised context-aware quality phrase generation","zhihao zhang, yuan zuo, chenghua lin, junjie wu","computation and language","phrase mining is a fundamental text mining task that aims to identify quality phrases from context. nevertheless, the scarcity of extensive gold labels datasets, demanding substantial annotation efforts from experts, renders this task exceptionally challenging. furthermore, the emerging, infrequent, and domain-specific nature of quality phrases presents further challenges in dealing with this task. in this paper, we propose lmphrase, a novel unsupervised context-aware quality phrase mining framework built upon large pre-trained language models (lms). specifically, we first mine quality phrases as silver labels by employing a parameter-free probing technique called perturbed masking on the pre-trained language model bert (coined as annotator). in contrast to typical statistic-based or distantly-supervised methods, our silver labels, derived from large pre-trained language models, take into account rich contextual information contained in the lms. as a result, they bring distinct advantages in preserving informativeness, concordance, and completeness of quality phrases. secondly, training a discriminative span prediction model heavily relies on massive annotated data and is likely to face the risk of overfitting silver labels. alternatively, we formalize phrase tagging task as the sequence generation problem by directly fine-tuning on the sequence-to-sequence pre-trained language model bart with silver labels (coined as generator). finally, we merge the quality phrases from both the annotator and generator as the final predictions, considering their complementary nature and distinct characteristics. extensive experiments show that our lmphrase consistently outperforms all the existing competitors across two different granularity phrase mining tasks, where each task is tested on two different domain datasets.",2023-12-28
"efficient high-quality clustering for large bipartite graphs","renchi yang, jieming shi","social and information networks","a bipartite graph contains inter-set edges between two disjoint vertex sets, and is widely used to model real-world data, such as user-item purchase records, author-article publications, and biological interactions between drugs and proteins. k-bipartite graph clustering (k-bgc) is to partition the target vertex set in a bipartite graph into k disjoint clusters. the clustering quality is important to the utility of k-bgc in various applications like social network analysis, recommendation systems, text mining, and bioinformatics, to name a few. existing approaches to k-bgc either output clustering results with compromised quality due to inadequate exploitation of high-order information between vertices, or fail to handle sizable bipartite graphs with billions of edges. motivated by this, this paper presents two efficient k-bgc solutions, hope and hope+, which achieve state-of-the-art performance on large-scale bipartite graphs. hope obtains high scalability and effectiveness through a new k-bgc problem formulation based on the novel notion of high-order perspective (hop) vectors and an efficient technique for low-rank approximation of hop vectors. hope+ further elevates the k-bgc performance to another level with a judicious problem transformation and a highly efficient two-stage optimization framework. two variants, hope+ (fnem) and hope+ (snem) are designed when either the frobenius norm or spectral norm is applied in the transformation. extensive experiments, comparing hope and hope+ against 13 competitors on 10 real-world datasets, exhibit that our solutions, especially hope+, are superior to existing methods in terms of result quality, while being up to orders of magnitude faster. on the largest dataset mag with 1.1 billion edges, hope+ is able to produce clusters with the highest clustering accuracy within 31 minutes, which is unmatched by any existing solution for k-bgc.",2023-12-28
"debiasing sample loadings and scores in exponential family pca for sparse count data","ruochen huang, yoonkyung lee","methodology","multivariate count data with many zeros frequently occur in a variety of application areas such as text mining with a document-term matrix and cluster analysis with microbiome abundance data. exponential family pca (collins et al., 2001) is a widely used dimension reduction tool to understand and capture the underlying low-rank structure of count data. it produces principal component scores by fitting poisson regression models with estimated loadings as covariates. this tends to result in extreme scores for sparse count data significantly deviating from true scores. we consider two major sources of bias in this estimation procedure and propose ways to reduce their effects. first, the discrepancy between true loadings and their estimates under a limited sample size largely degrades the quality of score estimates. by treating estimated loadings as covariates with bias and measurement errors, we debias score estimates, using the iterative bootstrap method for loadings and considering classical measurement error models. second, the existence of mle bias is often ignored in score estimation, but this bias could be removed through well-known mle bias reduction methods. we demonstrate the effectiveness of the proposed bias correction procedure through experiments on both simulated data and real data.",2023-12-20
"wikimute: a web-sourced dataset of semantic descriptions for music audio","benno weck, holger kirchhoff, peter grosche, xavier serra","computation and language","multi-modal deep learning techniques for matching free-form text with music have shown promising results in the field of music information retrieval (mir). prior work is often based on large proprietary data while publicly available datasets are few and small in size. in this study, we present wikimute, a new and open dataset containing rich semantic descriptions of music. the data is sourced from wikipedia's rich catalogue of articles covering musical works. using a dedicated text-mining pipeline, we extract both long and short-form descriptions covering a wide range of topics related to music content such as genre, style, mood, instrumentation, and tempo. to show the use of this data, we train a model that jointly learns text and audio representations and performs cross-modal retrieval. the model is evaluated on two tasks: tag-based music retrieval and music auto-tagging. the results show that while our approach has state-of-the-art performance on multiple tasks, but still observe a difference in performance depending on the data used for training.",2023-12-14
"uncovering gender stereotypes in video game character designs: a multi-modal analysis of honor of kings","bingqing liu, kyrie zhixuan zhou, danlei zhu, jaihyun park","human-computer interaction","in this paper, we conduct a comprehensive analysis of gender stereotypes in the character design of honor of kings, a popular multiplayer online battle arena (moba) game in china. we probe gender stereotypes through the lens of role assignments, visual designs, spoken lines, and background stories, combining qualitative analysis and text mining based on the moral foundation theory. male heroes are commonly designed as masculine fighters with power and female heroes as feminine ""ornaments"" with ideal looks. we contribute with a culture-aware and multi-modal understanding of gender stereotypes in games, leveraging text-, visual-, and role-based evidence.",2023-11-23
"taiyi: a bilingual fine-tuned large language model for diverse biomedical tasks","ling luo, jinzhong ning, yingwen zhao, zhijun wang, zeyuan ding, peng chen, weiru fu, qinyu han, guangtao xu, yunzhi qiu, dinghao pan, jiru li, hao li, wenduo feng, senbo tu, yuqi liu, zhihao yang, jian wang, yuanyuan sun, hongfei lin","computation and language","objective: most existing fine-tuned biomedical large language models (llms) focus on enhancing performance in monolingual biomedical question answering and conversation tasks. to investigate the effectiveness of the fine-tuned llms on diverse biomedical nlp tasks in different languages, we present taiyi, a bilingual fine-tuned llm for diverse biomedical tasks. materials and methods: we first curated a comprehensive collection of 140 existing biomedical text mining datasets (102 english and 38 chinese datasets) across over 10 task types. subsequently, a two-stage strategy is proposed for supervised fine-tuning to optimize the model performance across varied tasks. results: experimental results on 13 test sets covering named entity recognition, relation extraction, text classification, question answering tasks demonstrate that taiyi achieves superior performance compared to general llms. the case study involving additional biomedical nlp tasks further shows taiyi's considerable potential for bilingual biomedical multi-tasking. conclusion: leveraging rich high-quality biomedical corpora and developing effective fine-tuning strategies can significantly improve the performance of llms within the biomedical domain. taiyi shows the bilingual multi-tasking capability through supervised fine-tuning. however, those tasks such as information extraction that are not generation tasks in nature remain challenging for llm-based generative approaches, and they still underperform the conventional discriminative approaches of smaller language models.",2023-11-20
"a comprehensive review on sentiment analysis: tasks, approaches and applications","sudhanshu kumar (1), partha pratim roy (1), debi prosad dogra (2), byung-gyu kim (3) ((1) department of computer science and engineering, iit roorkee, india, (2) school of electrical sciences, iit bhubaneswar, odisha, india, (3) department of it engineering, sookmyung women's university, seoul, south korea)","artificial intelligence","sentiment analysis (sa) is an emerging field in text mining. it is the process of computationally identifying and categorizing opinions expressed in a piece of text over different social media platforms. social media plays an essential role in knowing the customer mindset towards a product, services, and the latest market trends. most organizations depend on the customer's response and feedback to upgrade their offered products and services. sa or opinion mining seems to be a promising research area for various domains. it plays a vital role in analyzing big data generated daily in structured and unstructured formats over the internet. this survey paper defines sentiment and its recent research and development in different domains, including voice, images, videos, and text. the challenges and opportunities of sentiment analysis are also discussed in the paper. \keywords{sentiment analysis, machine learning, lexicon-based approach, deep learning, natural language processing}",2023-11-19
